Land-Ocean: Global Means (J-D)
Year,No_Smoothing,Lowess(30)
1880,-0.15,-0.20
1881,-0.08,-0.21
1882,-0.10,-0.21
1883,-0.16,-0.21
1884,-0.27,-0.21
1885,-0.33,-0.22
1886,-0.31,-0.22
1887,-0.36,-0.22
1888,-0.17,-0.23
1889,-0.10,-0.23
1890,-0.35,-0.23
1891,-0.22,-0.23
1892,-0.27,-0.24
1893,-0.31,-0.24
1894,-0.31,-0.24
1895,-0.23,-0.24
1896,-0.10,-0.25
1897,-0.10,-0.25
1898,-0.27,-0.25
1899,-0.17,-0.25
1900,-0.07,-0.26
1901,-0.15,-0.26
1902,-0.28,-0.26
1903,-0.37,-0.26
1904,-0.46,-0.26
1905,-0.25,-0.27
1906,-0.22,-0.27
1907,-0.38,-0.27
1908,-0.42,-0.27
1909,-0.48,-0.27
1910,-0.43,-0.27
1911,-0.44,-0.27
1912,-0.36,-0.27
1913,-0.34,-0.27
1914,-0.15,-0.26
1915,-0.13,-0.26
1916,-0.35,-0.26
1917,-0.45,-0.25
1918,-0.29,-0.25
1919,-0.27,-0.25
1920,-0.27,-0.24
1921,-0.18,-0.23
1922,-0.28,-0.23
1923,-0.26,-0.22
1924,-0.27,-0.21
1925,-0.22,-0.20
1926,-0.11,-0.19
1927,-0.22,-0.19
1928,-0.20,-0.18
1929,-0.36,-0.17
1930,-0.15,-0.16
1931,-0.09,-0.15
1932,-0.16,-0.14
1933,-0.28,-0.14
1934,-0.12,-0.13
1935,-0.20,-0.12
1936,-0.14,-0.11
1937,-0.02,-0.11
1938,0.00,-0.10
1939,-0.01,-0.09
1940,0.13,-0.09
1941,0.19,-0.08
1942,0.07,-0.08
1943,0.09,-0.07
1944,0.21,-0.07
1945,0.10,-0.06
1946,-0.07,-0.06
1947,-0.02,-0.05
1948,-0.10,-0.05
1949,-0.11,-0.04
1950,-0.17,-0.04
1951,-0.07,-0.03
1952,0.01,-0.03
1953,0.08,-0.03
1954,-0.13,-0.02
1955,-0.14,-0.02
1956,-0.19,-0.02
1957,0.05,-0.01
1958,0.06,-0.01
1959,0.03,-0.01
1960,-0.02,-0.00
1961,0.06,-0.00
1962,0.03,0.00
1963,0.05,0.01
1964,-0.20,0.01
1965,-0.11,0.02
1966,-0.06,0.03
1967,-0.02,0.03
1968,-0.08,0.04
1969,0.05,0.05
1970,0.03,0.06
1971,-0.08,0.07
1972,0.01,0.08
1973,0.16,0.09
1974,-0.07,0.10
1975,-0.01,0.11
1976,-0.10,0.12
1977,0.18,0.13
1978,0.07,0.14
1979,0.16,0.16
1980,0.26,0.17
1981,0.32,0.18
1982,0.14,0.20
1983,0.31,0.21
1984,0.15,0.23
1985,0.12,0.24
1986,0.18,0.26
1987,0.32,0.27
1988,0.39,0.29
1989,0.27,0.31
1990,0.45,0.32
1991,0.40,0.34
1992,0.22,0.36
1993,0.23,0.38
1994,0.31,0.40
1995,0.44,0.41
1996,0.33,0.43
1997,0.46,0.45
1998,0.60,0.47
1999,0.38,0.49
2000,0.39,0.51
2001,0.53,0.53
2002,0.62,0.55
2003,0.61,0.57
2004,0.53,0.59
2005,0.67,0.61
2006,0.64,0.63
2007,0.66,0.65
2008,0.54,0.67
2009,0.65,0.69
2010,0.72,0.71
2011,0.61,0.73
2012,0.65,0.75
2013,0.68,0.77
2014,0.74,0.79
2015,0.90,0.81
2016,1.01,0.83
2017,0.92,0.85
2018,0.85,0.87
2019,0.98,0.89
2020,1.01,0.91
2021,0.84,0.93
2022,0.89,0.95
2023,1.17,0.97


